['bmh', 'classic', 'dark_background', 'fast', 'fivethirtyeight', 'ggplot', 'grayscale', 'seaborn-bright', 'seaborn-colorblind', 'seaborn-dark-palette', 'seaborn-dark', 'seaborn-darkgrid', 'seaborn-deep', 'seaborn-muted', 'seaborn-notebook', 'seaborn-paper', 'seaborn-pastel', 'seaborn-poster', 'seaborn-talk', 'seaborn-ticks', 'seaborn-white', 'seaborn-whitegrid', 'seaborn', 'Solarize_Light2', '_classic_test']
         828034 function calls (814815 primitive calls) in 2.234 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:137(EventType)
      238    0.000    0.000    0.000    0.000 __init__.py:1373(_root)
      236    0.004    0.000    0.014    0.000 __init__.py:1382(_substitute)
     2596    0.002    0.000    0.005    0.000 __init__.py:1388(getint_event)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
       11    0.000    0.000    0.000    0.000 __init__.py:14(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:14(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1432(Grouper)
        3    0.000    0.000    0.000    0.000 __init__.py:1468(__init__)
       39    0.000    0.000    0.000    0.000 __init__.py:1472(_preprocess_data)
      103    0.000    0.000    0.000    0.000 __init__.py:1476(clean)
        1    0.000    0.000    0.000    0.000 __init__.py:148(_BoundMethodProxy)
      103    0.000    0.000    0.000    0.000 __init__.py:1481(<listcomp>)
        1    0.000    0.000    0.008    0.008 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
       39    0.001    0.000    0.004    0.000 __init__.py:1512(param)
       95    0.000    0.000    0.000    0.000 __init__.py:1549(get_siblings)
       95    0.000    0.000    0.000    0.000 __init__.py:1556(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1574(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1580(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1588(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
       80    0.000    0.000    0.000    0.000 __init__.py:161(__init__)
        8    0.000    0.000    0.010    0.001 __init__.py:1635(inner)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
        3    0.000    0.000    0.000    0.000 __init__.py:164(compare_versions)
       24    0.000    0.000    0.000    0.000 __init__.py:1650(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1686(CallWrapper)
       41    0.000    0.000    0.000    0.000 __init__.py:1689(__init__)
  238/223    0.001    0.000    0.469    0.002 __init__.py:1694(__call__)
        2    0.000    0.000    0.000    0.000 __init__.py:17(register)
        1    0.000    0.000    0.000    0.000 __init__.py:1706(XView)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1727(YView)
        1    0.000    0.000    0.000    0.000 __init__.py:1748(Wm)
        2    0.000    0.000    0.002    0.001 __init__.py:1763(wm_attributes)
        1    0.000    0.000    0.000    0.000 __init__.py:180(Event)
        1    0.000    0.000    0.000    0.000 __init__.py:1809(wm_deiconify)
       40    0.000    0.000    0.000    0.000 __init__.py:183(add_destroy_callback)
        6    0.000    0.000    0.000    0.000 __init__.py:186(_destroy)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
        1    0.000    0.000    0.027    0.027 __init__.py:19(pylab_setup)
